timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-29T22:23:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:23:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:23:27,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,4m,44Mi
2024-05-29T22:23:27,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:23:27,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:23:27,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:23:27,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:23:27,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,4m,11Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,4m,44Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:23:57,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:23:57,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:23:57,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:23:57,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,4m,11Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,4m,44Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:24:27,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:24:27,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:24:27,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:24:27,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,4m,44Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:24:57,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:24:57,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:24:57,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:24:57,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,4m,80Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,3m,44Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:25:27,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:25:27,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:25:27,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:25:27,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-controller-manager-8545f7989c-25jhq,2m,78Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-external-scaler-7566d66c5d-5fglk,3m,11Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-external-scaler-7566d66c5d-k8bqw,6m,11Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-external-scaler-7566d66c5d-sksnj,4m,11Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-interceptor-896d565d6-l56zv,4m,44Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-interceptor-896d565d6-lpz62,3m,45Mi
2024-05-29T22:25:58,keda,keda-add-ons-http-interceptor-896d565d6-mt7fm,3m,44Mi
2024-05-29T22:25:58,keda,keda-admission-webhooks-554fc8d77f-kkbhl,1m,37Mi
2024-05-29T22:25:58,keda,keda-operator-dd878ddf6-sghjs,4m,97Mi
2024-05-29T22:25:58,keda,keda-operator-metrics-apiserver-86cc9c6fff-lbmsr,3m,80Mi
