timestamp,namespace,pod,cpu_usage,memory_usage
2024-05-29T22:06:12,knative-serving,controller-78b7976cc6-lbbgq,3m,25Mi
2024-05-29T22:06:12,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,20Mi
2024-05-29T22:06:12,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:06:12,knative-operator,knative-operator-57b95565df-k747z,2m,21Mi
2024-05-29T22:06:12,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,2m,23Mi
2024-05-29T22:06:42,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,3m,16Mi
2024-05-29T22:06:42,knative-serving,activator-55d856fccd-tkkxf,2m,19Mi
2024-05-29T22:06:42,knative-serving,autoscaler-5df8b7c68-5jw89,3m,17Mi
2024-05-29T22:06:42,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:06:42,knative-serving,controller-78b7976cc6-lbbgq,2m,25Mi
2024-05-29T22:06:42,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,20Mi
2024-05-29T22:06:42,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:06:42,knative-operator,knative-operator-57b95565df-k747z,2m,21Mi
2024-05-29T22:06:42,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:07:12,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,3m,16Mi
2024-05-29T22:07:12,knative-serving,activator-55d856fccd-tkkxf,2m,19Mi
2024-05-29T22:07:12,knative-serving,autoscaler-5df8b7c68-5jw89,3m,17Mi
2024-05-29T22:07:12,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,12Mi
2024-05-29T22:07:12,knative-serving,controller-78b7976cc6-lbbgq,3m,25Mi
2024-05-29T22:07:12,knative-serving,net-kourier-controller-7875894b5c-jkt7d,2m,20Mi
2024-05-29T22:07:12,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:07:12,knative-operator,knative-operator-57b95565df-k747z,2m,21Mi
2024-05-29T22:07:12,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
2024-05-29T22:07:42,knative-serving,3scale-kourier-gateway-75f4757658-hcmq6,3m,16Mi
2024-05-29T22:07:42,knative-serving,activator-55d856fccd-tkkxf,2m,20Mi
2024-05-29T22:07:42,knative-serving,autoscaler-5df8b7c68-5jw89,3m,17Mi
2024-05-29T22:07:42,knative-serving,autoscaler-hpa-56d9b7ccbc-c59bc,1m,11Mi
2024-05-29T22:07:42,knative-serving,controller-78b7976cc6-lbbgq,3m,25Mi
2024-05-29T22:07:42,knative-serving,net-kourier-controller-7875894b5c-jkt7d,1m,20Mi
2024-05-29T22:07:42,knative-serving,webhook-7c7b4cd674-kxvjh,3m,16Mi
2024-05-29T22:07:42,knative-operator,knative-operator-57b95565df-k747z,2m,21Mi
2024-05-29T22:07:42,knative-operator,operator-webhook-5b5f7f8b5-qvd2t,3m,23Mi
